mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,test_size,execution_time_seconds
17.075512075424193,0.9674318711380294,0.1332097053527832,0.0395095212376886,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.7301587301587301,0.7499999999999999,0.7619047619047619,0.8666666666666666,0.6388888888888888,0.7495238095238095,0.0727888118896467,5,0,791.778000831604
21.120088577270508,2.8077231135035103,0.12655220031738282,0.011160950078017443,3,120,"{'max_depth': 3, 'n_estimators': 120}",0.7076923076923076,0.6923076923076924,0.6956521739130435,0.8253968253968255,0.6388888888888888,0.7119875776397515,0.061445371541621975,6,0,791.778000831604
19.83577184677124,1.3194938453502325,0.09942536354064942,0.015564088020643697,4,100,"{'max_depth': 4, 'n_estimators': 100}",0.7796610169491527,0.7714285714285715,0.7999999999999999,0.8524590163934426,0.676470588235294,0.7760038386012921,0.057205569527262745,3,0,791.778000831604
25.80982036590576,1.1519070741792463,0.1434309959411621,0.022109750837715568,4,120,"{'max_depth': 4, 'n_estimators': 120}",0.7931034482758621,0.7714285714285715,0.7999999999999999,0.8387096774193549,0.676470588235294,0.7759424570718164,0.05427341300201006,4,0,791.778000831604
28.343470811843872,3.1171716360883424,0.1082305908203125,0.018891095874090935,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.851851851851852,0.847457627118644,0.7857142857142857,0.8727272727272727,0.7796610169491527,0.8274824108722413,0.03760701646764341,2,0,791.778000831604
34.56992197036743,4.204510153307279,0.14206295013427733,0.020218083318589253,6,120,"{'max_depth': 6, 'n_estimators': 120}",0.851851851851852,0.8064516129032258,0.8070175438596492,0.8928571428571429,0.7796610169491527,0.8275678336842045,0.04003918009219538,1,0,791.778000831604
26.484299898147583,1.4802869226112674,0.11570734977722168,0.016280059474667596,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.851851851851852,0.847457627118644,0.7857142857142857,0.8727272727272727,0.7796610169491527,0.8274824108722413,0.03760701646764341,2,0,640.9414219856262
31.022612142562867,1.1434811546679857,0.14329242706298828,0.01940694764695142,6,120,"{'max_depth': 6, 'n_estimators': 120}",0.851851851851852,0.8064516129032258,0.8070175438596492,0.8928571428571429,0.7796610169491527,0.8275678336842045,0.04003918009219538,1,0,640.9414219856262
29.39425835609436,3.3157473954061976,0.10466504096984863,0.009133257826460668,9,100,"{'max_depth': 9, 'n_estimators': 100}",0.830188679245283,0.7924528301886793,0.7547169811320756,0.8679245283018867,0.75,0.7990566037735849,0.04500702053538319,3,0,640.9414219856262
31.454732179641724,1.9266805058686884,0.1290842056274414,0.010328817715917732,9,120,"{'max_depth': 9, 'n_estimators': 120}",0.830188679245283,0.8076923076923076,0.7547169811320756,0.851851851851852,0.75,0.7988899639843037,0.04050563760931605,4,0,640.9414219856262
79.13503370285034,10.328172721177117,0.27414612770080565,0.08056518517460336,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.8079470198675496,0.7464788732394366,0.7165775401069518,0.7710843373493976,0.6987951807228916,0.7481765902572454,0.038825700132029115,3,0.25,2173.9569087028503
99.9963933467865,9.758980588001192,0.26982436180114744,0.04828063189078909,6,120,"{'max_depth': 6, 'n_estimators': 120}",0.7973856209150327,0.7412587412587414,0.708994708994709,0.7710843373493976,0.7030303030303029,0.7443507423096367,0.036039899325445275,4,0.25,2173.9569087028503
99.50912837982177,3.9207504082127485,0.282898998260498,0.059827123214655005,9,100,"{'max_depth': 9, 'n_estimators': 100}",0.8489208633093526,0.7692307692307692,0.8666666666666667,0.8493150684931505,0.7857142857142858,0.823969530682845,0.03885307318826903,2,0.25,2173.9569087028503
121.89303998947143,7.089032056493007,0.3187997341156006,0.03689522642677805,9,120,"{'max_depth': 9, 'n_estimators': 120}",0.8428571428571429,0.7692307692307692,0.87248322147651,0.861111111111111,0.7857142857142858,0.8262793060779637,0.04128665049579981,1,0.25,2173.9569087028503
129.40787463188173,9.486076974872347,0.34889974594116213,0.06350569483442431,9,120,"{'max_depth': 9, 'n_estimators': 120}",0.8428571428571429,0.7692307692307692,0.87248322147651,0.861111111111111,0.7857142857142858,0.8262793060779637,0.04128665049579981,4,0.25,3140.3728997707367
151.7920419692993,20.179605189838583,0.40670313835144045,0.07029553166965072,9,130,"{'max_depth': 9, 'n_estimators': 130}",0.8428571428571429,0.78125,0.8666666666666667,0.8671328671328671,0.7913669064748201,0.8298547166262994,0.03676295218676681,3,0.25,3140.3728997707367
154.50622639656066,28.096605808902208,0.4021270751953125,0.04977052399711116,10,120,"{'max_depth': 10, 'n_estimators': 120}",0.8613138686131386,0.761904761904762,0.87248322147651,0.8671328671328671,0.7913669064748201,0.8308403251204195,0.04536557931093283,2,0.25,3140.3728997707367
152.1624979496002,10.477083960674289,0.35388836860656736,0.0498408954815222,10,130,"{'max_depth': 10, 'n_estimators': 130}",0.8613138686131386,0.7716535433070867,0.8666666666666667,0.8671328671328671,0.7913669064748201,0.8316267704389159,0.04144260041819569,1,0.25,3140.3728997707367
82.69605112075806,21.061271763129977,0.2885133743286133,0.08454677719263524,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.8489208633093526,0.752,0.8666666666666667,0.8689655172413793,0.8057553956834532,0.8284616885801703,0.04445384994586612,8,0.25,5660.907363176346
115.85629105567932,22.784192404454743,0.26451382637023924,0.015939596982563187,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.8613138686131386,0.7716535433070867,0.8666666666666667,0.8671328671328671,0.7826086956521738,0.8298751282743865,0.04325279044209639,5,0.25,5660.907363176346
157.82148923873902,13.30238231526216,0.4153930187225342,0.08927678019857761,10,150,"{'max_depth': 10, 'n_estimators': 150}",0.8613138686131386,0.7751937984496124,0.87248322147651,0.8671328671328671,0.7913669064748201,0.8334981324293895,0.04147115452284764,1,0.25,5660.907363176346
72.94217824935913,13.502926191073577,0.1823572635650635,0.032547862539764535,20,50,"{'max_depth': 20, 'n_estimators': 50}",0.8721804511278195,0.7586206896551725,0.8776978417266188,0.8372093023255813,0.8062015503875969,0.8303819670445577,0.04419703894581,4,0.25,5660.907363176346
99.20256481170654,10.199425922749594,0.22522034645080566,0.006003612038875901,20,100,"{'max_depth': 20, 'n_estimators': 100}",0.8721804511278195,0.7478260869565216,0.8840579710144927,0.8549618320610687,0.796875,0.8311802682319804,0.05131744380184018,2,0.25,5660.907363176346
172.30110034942626,13.020493405829846,0.41353960037231446,0.040218834784976315,20,150,"{'max_depth': 20, 'n_estimators': 150}",0.8636363636363635,0.7478260869565216,0.8920863309352519,0.8461538461538461,0.796875,0.8293155255363966,0.051175266050430934,6,0.25,5660.907363176346
76.00690860748291,12.57455884813525,0.19936723709106446,0.041007280905284146,30,50,"{'max_depth': 30, 'n_estimators': 50}",0.8787878787878789,0.7478260869565216,0.8840579710144927,0.8372093023255813,0.8062015503875969,0.8308165578944141,0.05033901020421976,3,0.25,5660.907363176346
119.55816626548767,12.712316144727625,0.2865279197692871,0.009894345000129371,30,100,"{'max_depth': 30, 'n_estimators': 100}",0.8721804511278195,0.7368421052631579,0.8840579710144927,0.8461538461538461,0.8062015503875969,0.8290871847893826,0.05329726978152485,7,0.25,5660.907363176346
189.45113277435303,10.604978908688642,0.45491514205932615,0.0687260396188935,30,150,"{'max_depth': 30, 'n_estimators': 150}",0.8702290076335878,0.7478260869565216,0.8776978417266188,0.8372093023255813,0.796875,0.825967447728462,0.04840235825111455,9,0.25,5660.907363176346
6.283566236495972,0.17201991353796212,0.05213603973388672,0.0020153351572842503,5,10,"{'max_depth': 5, 'n_estimators': 10}",0.6009852216748769,0.4840182648401827,0.47719298245614034,0.36111111111111116,0.5086206896551724,0.4863856539474966,0.07669586502468413,4,0.25,6822.180306196213
119.97769184112549,16.784523713124095,0.36025257110595704,0.05495337210415745,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.7393939393939394,0.6625766871165644,0.6044444444444445,0.6213592233009708,0.6703910614525139,0.6596330711416865,0.046897478141474616,3,0.25,6822.180306196213
10.289020681381226,0.3749870578354872,0.053549766540527344,0.0032180278846372133,39,10,"{'max_depth': 39, 'n_estimators': 10}",0.8787878787878789,0.7368421052631579,0.8970588235294118,0.8095238095238095,0.7777777777777779,0.8199980789764071,0.060335361159113914,2,0.25,6822.180306196213
1121.3138996601106,1696.4556743686553,0.46969332695007326,0.036906656874493626,39,200,"{'max_depth': 39, 'n_estimators': 200}",0.8702290076335878,0.7478260869565216,0.8776978417266188,0.8636363636363635,0.796875,0.8312528599906184,0.050728357825451445,1,0.25,6822.180306196213
421.3101170539856,96.90197242124557,0.9356522560119629,0.3588849393614697,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.8613138686131386,0.765625,0.87248322147651,0.8671328671328671,0.7913669064748201,0.8315843727394672,0.0442455368404266,2,0.25,3924.6474997997284
292.35821022987363,56.14117693690046,0.608466100692749,0.07006246856780585,10,250,"{'max_depth': 10, 'n_estimators': 250}",0.8613138686131386,0.765625,0.87248322147651,0.8732394366197183,0.7913669064748201,0.8328056866368374,0.04528206820925564,1,0.25,3924.6474997997284
57.468603420257566,4.49859656761026,0.16800732612609864,0.042355325769796184,39,50,"{'max_depth': 39, 'n_estimators': 50}",0.8787878787878789,0.7478260869565216,0.8840579710144927,0.828125,0.8062015503875969,0.8289996974292979,0.05023933147344013,1,0.25,372.1244373321533
